日本語,英語,例文,,
満足の行く,To be satisfying,あなたの話は全然満足の行かないものだ。,,
取るに足りない,Insginificant,彼は自分がひとかどの人物だと思ってるが、実際は、取りに足りない人物である。,,
ぐずぐずする・うだうだする,To dilly dally/ to screw around/ to dawdle,もうこれ以上ぐずぐずしていられない。ぐずぐずせずに早くしろ。ぐずぐずしてる暇はない。ボブは妻がぐずぐずしてるのが我慢できなかった。,,
作業・仕事,Work,,,
連れ去る,To take off somewhere (a person/animal),,,
無駄骨を折る,To waste one's efforts,,,
無駄足をする,To go on a wild goose chase,,,
出来事,An event,昨日の出来事の話とか,,
出来栄え,Workmanship,,,
無難な,Safe,,,
似寄り「の」,To be similar,,,
~を恥ずかしく思う,To be embarassed by,息子の良くない行為をしたことを恥ずかしく思っています。私はお父さんのお母さんへの配慮に欠ける行為を恥ずかしく思ってる。,,
弾く,To repel,このレインコートは水をはじく,,
跳ね返す,To repel (with some force),彼らの賃上げ要求を跳ね返す。油膜が水滴を跳ね返す。,,
靴紐「を結ぶ　が解ける（ほど）」,Shoelace,,,
連合,Alliance,,,
同盟「を組む、を結ぶ」,To form an alliance,,,
相互利益,Mutual interst,,,
共通目的,A common goal,,,
算盤（そろばん）,An abacus,,,
定評「がある」,To have a solid reputation,彼は金融アナリストで経済動向の分析には定評がある。,,
動向,Trend,傾向と同じだけど、同行のほうが正式である。,,
飽くまで,No matter what ,彼はあくまで自分の思い通りにやろうとする。,,
飽くまでも,No matter what ,あくまでの強調」困難に対して彼はあくまでも抵抗した。,,
はずかしめる、はずかしめられる,"To put to shame, to be put to shame",満座の中で辱められた。,,
に応じて,In response to,,,
どういうつもり,What do you intend to do?,,,
本質,Essence,Absolutelyの意味の本質を教えてください。,,
返り討ちする,To beat someone at their own game,ま、仕返しに来たら、返り討ちしてやるよ。,,
充実した,Fullfilling,充実した学生生活を送りたい,,
～一筋,Devoted to～,彼は彼女一筋だな,,
～かねない,Likely to～,彼は盗みをしかねません。彼はどんな悪事でもやりかねない。彼かそんなことをやりかねない。彼は望むものを手に入れるためには人をも騙しかねない。,,
人情（にんじょう）,Human nature,隣近所に対して見栄えを張るのは人情ですよ。,,
結合,"Joining together, to join together",,,
痛切な,To be strong,必要性を痛切に感じえる。,,
差をつける,To set apart from,普通の文章と差をつけるための簡単な方法　差をつけるは、例えば、マラソンで、相手が追いつけないほど差をつける。とか、何かを競っているときに使うよ,,
豪華な,To be extravagent,,,
気力,Mental energy,,,
体力,Physical energy,体力が限界でも、気力で何とかこの困難を乗り切ろう！,,
活力,Energy,,,
生気,Vigor,彼は彼女に昨日ふられたばっかりで、生気がない。（＝生き生きしていない）ゾンビみたいな顔をしている。生気を取り戻す。生気を蘇らせる。,,
勢力,The power to influence/Control,台風がすさまじい勢力で日本に上陸した。,,
遺憾,Rats!/what a shame!,,,
久方ぶり（ひさかた）,It's been a long time since ～,,,
～にノリノリ,To be in high spirits about～,今度の試合にノリノリ。彼女にデートを誘われてノリノリ,,
出費,Expense,個人的な費用」金をためるには出費を切り詰めないと。出費がかさむ。今回の旅行での出費は全部つけておくつもり。私たちは月々の出費を削減しなければならない。車を持ってることは相当な出費だ。彼は出費にかかわらず、自分の計画を実行するだろう。彼の出費は収入をはるかに上回ってる。老齢人口は、健康管理にますます多くの出費を必要となるだろう。,,
支出,Overall expenditures,総体としての費用。,,
対決する・対峙する,To confront/face off against,ですが、あの人と違う方法を選ぶといことは対決することになるでしょう。,,
猪突猛進,Recklessly charge,イノシシみたいに突進していくことだよ,,
活躍,Activity/great efforts,で、戦いはデゥークという英雄の活躍により人間は勝利を納め、戦争は終結した。,,
口をとがらす,To pout,彼は不服で口をとがらした。,,
根ざす・根付く,To be rooted in,大地に深く根ざした力。彼らの恐怖は無知に根差してる。,,
～に起因する,To result from～,彼らの口論は互いの誤解に起因していた。,,
嫌味,An insult/sarcasm,夫「お母さんの味とちょっと違うな」妻「それは私に対する嫌味?」嫌味を言って彼を追い払う,,
いい加減に・適当に,Halfassedly,気持ちを込めず～、本気じゃない」,,
いかに,How~That must have been~,いかに美味しくてもダイエット中だったら我慢しなきゃいけない。タイタニック号で海に溺れた人のことを考えて、いかに寒かったか！How cold it was.　It must have been so cold,,
有無を言わさず,Not even giving a chance to respond,何も言う機会を与えない、無理矢理に、力づくで、」昔は有無を言わさず、結婚させられた人が多かった。有無を言わさず、急に退職させられた。何も悪いことしてないのに。,,
有無,"Consent or refusal, yes/no",xyz社プリンターの在庫の有無を問い合わせる。証明書の有無によって。排卵の有無を調べる方法はありますか。,,
己,Oneself,己をなくすTo lose onself　バウルにはまだEとしての己をなくす覚悟がないだけ。,,
決断する,"A decision, to decide",沢山のものから一つを選ぶこと」決断を迫られる。転職を決断する。,,
決心する,"Making up one's mind, to make up one's mind",一年悩みやっと結婚することを決心した。,,
どっさり,"Lots of, with a thud",たくさんに等しい意味をもつ」いろんな花がどっさり咲いてたぞ。昨日はどっさり買い物をした。ロンドンからお土産をどっさりお願いします。お菓子がどっさりとある。荷物が棚からどっさりと落ちたWith a thud食卓には果物がどっさり載せてあった。果物をどっさり買う。お金をどっさり蓄える。,,
最後の引導（いんどう）,"A prayer for the dead, a final notice",最後の引導を渡すTo give someome their final notice,,
恩着せがましい,To act like you are doing someone a favor,,,
まとわりつく、まつわりつく,To cling to,彼女は暑い夏の日にジーンズが脚にまとわりついてるという文句を言った,,
つきまとう,To cling to or follow around (Almost stalking),彼女の熱狂的なファンたちはたとえ、彼女がどこに行っても付きまとった。つきまとう弟をはぐらかすTo give the slip to one's younger brother clinging to them,,
判明する、判明させる　≪自≫,"To become clear, to make something clear (formal)",血痕は彼女のDNAに一致してることが判明した。,,
思わず,"Instinctively, without thinking",彼女の馬鹿げた姿を見て思わず大きな声で吹き出してしまった。彼の冗談を聞いて思わず笑った。彼女の子供のような率直さに思わず微笑んでしまった。,,
気まずい,To be awkward,精神的に・気持ちがしっくりと会わず不快なさま」元カレにばったり会って気まずい思いをした。友達との間が気まずくなる。気まずい雰囲気。,,
